	Aria1		Var01		Var02		Var03		Var04		Var05		Var06		Var07		Var08		Var09		Var10		Var11		Var12		Var13		Var14		Var15		Var16a	Var16b	Var17		Var18		Var19		Var20		Var21		Var22		Var23		Var24		Var25				Var26		Var27		Var28		Var29		Var30		Aria2	
Repeats	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1			2	1	2	1	2	1	2	1	2	1	2	1	2
Rudolf Serkin 1928																																																																		
Landowska 1933									x	x	x (ABÁ)				x (ABÁ)						x	x												x			x (ABÁ)								x	x			x																	
Norton 1942			x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x						x						x		x	x	x	x	x				x	x	x												x	x	x		x	x		
Arrau 1942	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Landowska 1945									x	x	x (ABÁ)				x (ABÁ)						x	x												x			x (ABÁ)								x	x			x																	
Kirkpatrick 1952 																																																																		
Demus 1953									x	x																											x	x	x	x					x	x																	x	x		
Ahlgrimm 1954	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Gould 1954																																																																	x	
Gould 1955																																																																		
Richter 1956																																																																		
Silver 1957									x	x	x (ABÁ)		x	x	x (ABÁ)						x																x		x	x					x						x										x					
Tureck 1957	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Gould 1958							x		x				x						x										x								x						x		x																		x	x		
Kirkpatrick 1958 																																																																		
Gould 1959									x																																																						x			
Sultan 1959	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x			
Marlowe 1962									x		x																							x			x		x						x																		x	x		
Gát 1963 																																																																		
Leonhardt 1965																																																																		
Picht-Axenfeld 1966	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Rosen 1967	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Kempff 1969	x		x		x		x	x	x		x		x	x	x		x		x	x	x		x		x	x	x		x		x	x			x		x	x	x		x		x	x	x		x		x	x	x				x		x	x	x		x		x	x		
Nikolayeva 1970	x		x	x	x	x			x	x	x	x	x	x			x	x	x	x			x	x	x	x			x		x	x	x	x	x	x	x	x	x	x	x	x	x	x															x	x	x					
Richter 1970	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Newman 1971			x	x	x	x			x	x	x	x	x	x							x	x	x	x					x	x			x	x			x	x	x	x					x	x																	x	x		
Hayden 1976																																																																		
Takahashi 1976																																																																		
Gibbons 1979	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Pinnock 1980			x	x	x	x			x	x	x	x	x	x			x	x			x	x	x	x					x	x			x	x			x	x	x	x	x	x			x	x	x	x							x	x							x	x		
Weissenberg 1981	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Gould 1981							x		x				x						x		x				x						x						x						x		x				x								x						x			
Schiff 1982	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Sokolov 1982 	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Chen 1985	x	x					x	x					x	x					x	x					x	x					x	x		x			x	x					x	x					x	x							x	x					x	x		
Gilbert 1986			x	x	x	x	x	x	x	x			x	x	x	x			x	x					x	x	x	x			x	x	x	x			x	x	x	x			x	x	x	x			x	x	x			x			x	x								
Tipo 1986 	x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x	x	x		x		x		x		x		x		x		x		x				x		x		x		x		x	x		
Koopman 1987	x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x				x		x		x		x		x			
Jarrett 1989					x	x	x	x	x	x			x	x					x	x													x	x									x	x							x			x							x	x	x	x		
Asperen 1990	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x							x	x			x	x	x	x	x	x		
Feltsman 1991	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Barenboim 1992	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Nikolayeva 1992	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x			x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x					x	x	x	x	x	x	x	x	x	x		
Verlet 1992	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Gavrilov 1993	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Peter Serkin 1994																																																															x	x		
Li 1996							x		x				x						x		x										x						x						x		x				x								x						x	x		
Vladar 1997	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Schultz 1998																																																																		
Tureck 1998	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Belder 1999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x		x	x	x	x	x	x	x	x	x	x	x	x			x	x	x		x	x	x	x	x		x				x				x	x	x	x	x	x		
Hewitt 1999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Koroliov 1999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Schirmer 1999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Perahia 2000	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Schiff 2001	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Haugsand 2002	x	x	x	x	x	x	x	x	x	x	x		x	x	x		x		x	x	x	x	x		x		x		x	x	x	x	x	x	x	x	x	x	x		x	x	x		x		x		x		x			x	x		x		x		x		x	x		
Pescia 2004																																																																		
Takahashi 2004	x								x	x			x							x																															x															
Dinnerstein 2005	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x				x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x					x	x	x	x			x	x	x	x		
Egarr 2005	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Zhu 2007	x		x		x		x		x		x		x		x		x		x		x		x		x		x		x		x				x		x		x		x		x		x		x		x		x				x		x		x		x		x	x	x	
Marsoner 2009	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Staier 2009	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Ishizaka 2012	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Denk 2013	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Hill 2014	x		x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x			x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x							x	x	x	x	x	x	x	x	x	x	x	x
Hewitt 2015	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Levit 2015	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Schiff 2015	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Esfahani 2016	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Schornsheim 2016	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Kim 2018			x	x	x		x		x	x	x		x		x	x			x		x	x			x		x		x		x		x				x	x					x		x	x	x	x							x	x			x		x	x	x	x		
Ernst 2020	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x		
Lang 2020a	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
Lang 2020b	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x			x	x	x	x	x	x	x	x	x	x	x	x	x
